Ticker,TargetVariable,ModelType,FeatureSet,NumTrainSamples,NumTestSamples,MAE,RMSE,R2,Sgn_acc,Accuracy,Precision,Recall,F1,ROC_AUC
SBER,target_3d,XGBRegressor,Extended,1310,262,3.0697403045405403,4.112461946882081,-0.6576542932019338,0.4618320610687023,,,,,
SBER,target_3d,XGBRegressor,Tech_Macro,1310,262,3.174892292781891,4.239950892628069,-0.7620240472586339,0.48854961832061067,,,,,
SBER,target_3d,XGBRegressor,Tech_Only,1310,262,3.0699577256070634,4.263858537171383,-0.7819509814807504,0.4541984732824427,,,,,
SBER,target_7d,LGBMRegressor,Base,1304,260,4.427598760285031,5.613850678622543,-0.17137353661581178,0.45384615384615384,,,,,
SBER,target_7d,LGBMRegressor,Extended,1304,260,5.57656112516837,7.092579756371586,-0.869744012324821,0.5153846153846153,,,,,
SBER,target_7d,LGBMRegressor,Tech_Macro,1304,260,4.4033781555635825,5.591569437527836,-0.16209368105420352,0.48846153846153845,,,,,
SBER,target_7d,LGBMRegressor,Tech_Only,1304,260,4.668319104055132,6.091380844373077,-0.37912998593985336,0.43846153846153846,,,,,
SBER,target_7d,XGBRegressor,Base,1304,260,4.124339096129461,5.472423630303203,-0.11309726048862001,0.5038461538461538,,,,,
SBER,target_7d,XGBRegressor,Extended,1304,260,5.646888646036397,7.130026386067292,-0.8895394730640585,0.5,,,,,
SBER,target_7d,XGBRegressor,Tech_Macro,1304,260,4.255125708322575,5.601263241229179,-0.1661264925963437,0.49615384615384617,,,,,
SBER,target_7d,XGBRegressor,Tech_Only,1304,260,4.054437296118468,5.305517724401718,-0.04623497535623322,0.47307692307692306,,,,,
SBER,target_30d,LGBMRegressor,Base,1276,255,9.999938400356557,11.87985672372007,-0.379026035498222,0.4235294117647059,,,,,
SBER,target_30d,LGBMRegressor,Extended,1276,255,10.51312646665768,12.135629661761687,-0.4390460420946878,0.5019607843137255,,,,,
SBER,target_30d,LGBMRegressor,Tech_Macro,1276,255,9.775802903772638,12.150644374240727,-0.4426091417655311,0.41568627450980394,,,,,
SBER,target_30d,LGBMRegressor,Tech_Only,1276,255,11.966059533448314,13.625902718651478,-0.8141810564941456,0.3843137254901961,,,,,
SBER,target_30d,XGBRegressor,Base,1276,255,10.053510769357144,11.922911878772997,-0.38903992262842824,0.40784313725490196,,,,,
SBER,target_30d,XGBRegressor,Extended,1276,255,10.451216669212869,11.99369475152505,-0.40558153368260386,0.45098039215686275,,,,,
SBER,target_30d,XGBRegressor,Tech_Macro,1276,255,10.228042604429305,12.488109853929265,-0.5238544254546573,0.3764705882352941,,,,,
SBER,target_30d,XGBRegressor,Tech_Only,1276,255,11.054269091389413,12.650430580626063,-0.5637260652024882,0.42745098039215684,,,,,
SBER,target_180d,LGBMRegressor,Base,1151,230,23.31705068678424,26.768563630380388,-4.449686201822246,0.4391304347826087,,,,,
SBER,target_180d,LGBMRegressor,Extended,1151,230,23.67762829715285,27.46138565683372,-4.735433573571542,0.4782608695652174,,,,,
SBER,target_180d,LGBMRegressor,Tech_Macro,1151,230,25.51297476604743,28.729237029724555,-5.277251724504346,0.40869565217391307,,,,,
SBER,target_180d,LGBMRegressor,Tech_Only,1151,230,32.699662767454434,40.88881810455611,-11.715413111769461,0.5521739130434783,,,,,
SBER,target_180d,XGBRegressor,Base,1151,230,24.123693867951268,27.832071533793208,-4.891317431094782,0.41304347826086957,,,,,
SBER,target_180d,XGBRegressor,Extended,1151,230,23.886294969871248,27.60646751826994,-4.796195652512928,0.40869565217391307,,,,,
SBER,target_180d,XGBRegressor,Tech_Macro,1151,230,23.71563193391613,27.978150793514054,-4.953321997046556,0.47391304347826085,,,,,
SBER,target_180d,XGBRegressor,Tech_Only,1151,230,29.890220559018438,39.87346688089526,-11.091755461496208,0.6043478260869565,,,,,
